restaurant_id,name,city,locality,cuisines,avg_cost_for_two,currency,rating,votes
127,Banashankari Nati Style,Bengaluru,Banashankari,"Biryani, Chinese, South Indian, North Indian",350.0,INR,0.0,0
128,Ruchi Maayaka,Bengaluru,Banashankari,South Indian,100.0,INR,3.3,8
129,Mohitesh Hut Roll,Bengaluru,Banashankari,"Rolls, North Indian",150.0,INR,0.0,0
130,Sri Basaveshwar Jolada Rotti Oota,Bengaluru,Banashankari,South Indian,150.0,INR,0.0,0
131,Roll Magic Fast Food,Bengaluru,Banashankari,"Biryani, Rolls, Chinese",200.0,INR,0.0,0
132,Foodlieious Multi Cuisine,Bengaluru,Banashankari,North Indian,100.0,INR,0.0,0
133,Thanishka Nati And Karavali Style,Bengaluru,Banashankari,"Biryani, Fast Food",400.0,INR,0.0,0
134,Swathi Cool Point,Bengaluru,Banashankari,"Beverages, Juices",200.0,INR,0.0,0
135,Kaumudis Juoice,Bengaluru,Banashankari,"Beverages, Fast Food, Juices",150.0,INR,0.0,0
136,Amma - Manae,Bengaluru,Banashankari,South Indian,400.0,INR,0.0,0
137,Sri Sai Tiffannies,Bengaluru,Banashankari,"South Indian, Chinese",150.0,INR,0.0,0
138,Hotel Andhra Speices,Bengaluru,Banashankari,Andhra,250.0,INR,0.0,0
139,Sri Murari Family Restaurant,Bengaluru,Banashankari,Biryani,250.0,INR,0.0,0
140,Aramane Donne Biriyani,Bengaluru,Banashankari,"South Indian, Biryani",150.0,INR,0.0,0
141,Darkolates,Bengaluru,Banashankari,Desserts,200.0,INR,0.0,0
142,Swaada Healthy Kitchen,Bengaluru,Banashankari,"Healthy Food, Juices, Sandwich",350.0,INR,0.0,0
143,Gawdaru Mane Beriyani,Bengaluru,Banashankari,"South Indian, Biryani",300.0,INR,0.0,0
144,Melting Melodies,Bengaluru,Banashankari,"Pizza, Fast Food",100.0,INR,0.0,0
145,New Indraprasta,Bengaluru,Banashankari,"South Indian, Beverages",150.0,INR,0.0,0
